col1_1,ra_1,dec_1,col1_2,ra_2,dec_2,Separation
19,175.890586,21.669819,29364,175.89149808110213,21.67228737779398,9.39547538272919
45,5.247781,0.878627,62462,5.252294116085352,0.8773116137128241,16.921407630253853
56,168.974847,25.633658,404821,168.97073708530698,25.6361518552879,16.079188497682736
255,176.147779,6.430212,265934,176.1464259029576,6.42738628465911,11.26551842242991
305,216.734203,-2.556704,209961,216.73248662726843,-2.558336707515353,8.52356801952898
348,249.263232,26.699682,420897,249.26423000107675,26.699189190862203,3.667397618997318
700,203.469073,9.961048,20728,203.47248352270847,9.958872558943314,14.407308883548001
782,229.357805,12.945866,94909,229.36038312245492,12.946228665259735,9.139063773499243
862,246.078882,24.327498,15758,246.0791691543161,24.331673433206372,15.061044089561996
951,133.78353,23.365203,1614,133.78515240878852,23.368498165544217,13.018003507446872
988,176.331902,8.819395,422538,176.33560421574975,8.820391073550942,13.649807074104329
996,214.517718,6.883473,345634,214.5218003239446,6.881253100165551,16.635746564288286
1026,166.10564,33.186404,101003,166.1013953620861,33.18814993721355,14.249349614093772
1059,195.66337,-2.959544,192291,195.65944381608716,-2.9609235632960744,14.963621472325304
1164,248.282804,26.937959,255371,248.28298478521756,26.939269036128962,4.751686343513799
1307,139.954186,4.484699,449379,139.95662866526425,4.485318894301194,9.04624694032275
1315,173.487521,21.093611,420100,173.4845594813874,21.094172592838877,10.150441396169205
1367,174.280952,17.988694,391738,174.27860465874272,17.990693221408385,10.788786432606951
1392,207.467336,17.819993,283290,207.4703136462801,17.821253216466275,11.168186772699435
1404,224.596795,18.562444,141831,224.59585176372397,18.56119133662017,5.540615484711715
1421,226.422527,5.094517,117223,226.42427327343512,5.095059114653784,6.558831285083908
1542,201.462639,10.427079,153428,201.46338179191156,10.430917871185693,14.067938145273647
1616,153.885774,7.081659,391990,153.88665143404808,7.079590499990054,8.079481782156236
1626,178.955973,10.879252,188651,178.95300451957223,10.877869484319637,11.614875440495801
1655,207.937426,25.03668,25576,207.93401198600583,25.04024670899074,16.996104535253846
1749,180.952931,4.345385,281963,180.95468014063007,4.343249486186698,9.92605368976385
1857,160.507937,24.010536,21802,160.50690748661532,24.008923896473267,6.718894348426415
